row_id,order_id,order_date,ship_date,ship_mode,customer_id,country_or_region,city,state_or_province,postal_code,division,region,product_id,product_name,sales,units,gross_profit,cost
282,US-2021-128055-CHO-TRI-54000,2021-03-31,2026-09-26,"Standard Class",128055,"United States","San Francisco",California,94122,Chocolate,Pacific,CHO-TRI-54000,"Wonka Bar - Triple Dazzle Caramel",7.5,2,4.9,2.6
288,US-2021-128055-CHO-SCR-58000,2021-03-31,2026-09-26,"Standard Class",128055,"United States","San Francisco",California,94122,Chocolate,Pacific,CHO-SCR-58000,"Wonka Bar -Scrumdiddlyumptious",7.2,2,5,2.2
1132,US-2021-138100-CHO-FUD-51000,2021-09-15,2027-03-13,"Standard Class",138100,"United States","New York City","New York",10011,Chocolate,Atlantic,CHO-FUD-51000,"Wonka Bar - Fudge Mallows",7.2,2,4.8,2.4
1133,US-2021-138100-CHO-MIL-31000,2021-09-15,2027-03-13,"Standard Class",138100,"United States","New York City","New York",10011,Chocolate,Atlantic,CHO-MIL-31000,"Wonka Bar - Milk Chocolate",9.75,3,6.33,3.42
3396,US-2022-121391-CHO-MIL-31000,2022-10-04,2028-03-29,"First Class",121391,"United States","San Francisco",California,94109,Chocolate,Pacific,CHO-MIL-31000,"Wonka Bar - Milk Chocolate",6.5,2,4.22,2.28
4370,US-2023-103982-CHO-SCR-58000,2023-03-03,2028-08-28,"Standard Class",103982,"United States","Round Rock",Texas,78664,Chocolate,Interior,CHO-SCR-58000,"Wonka Bar -Scrumdiddlyumptious",3.6,1,2.5,1.1
4373,US-2023-103982-CHO-NUT-13000,2023-03-03,2028-08-28,"Standard Class",103982,"United States","Round Rock",Texas,78664,Chocolate,Interior,CHO-NUT-13000,"Wonka Bar - Nutty Crunch Surprise",10.47,3,7.47,3
4375,US-2023-103982-CHO-FUD-51000,2023-03-03,2028-08-28,"Standard Class",103982,"United States","Round Rock",Texas,78664,Chocolate,Interior,CHO-FUD-51000,"Wonka Bar - Fudge Mallows",25.2,7,16.8,8.4
4377,US-2023-103982-CHO-MIL-31000,2023-03-03,2028-08-28,"Standard Class",103982,"United States","Round Rock",Texas,78664,Chocolate,Interior,CHO-MIL-31000,"Wonka Bar - Milk Chocolate",9.75,3,6.33,3.42
8005,US-2024-147039-CHO-NUT-13000,2024-06-29,2029-12-25,"Standard Class",147039,"United States",Minneapolis,Minnesota,55407,Chocolate,Interior,CHO-NUT-13000,"Wonka Bar - Nutty Crunch Surprise",10.47,3,7.47,3
